Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,5,0,5500,5998.2752749929205,68.12512502074242,13861.126041971147,1137.4,0.04291861769098802,0.0,5500,6500,6500,14000,14000,14000,14000,14000,14000,14000,14000
GET,/alerts/010005,13,0,6200,7837.5142116027955,67.41558399517089,17719.720958033577,1212.4615384615386,0.11158840599656886,0.0,6200,9500,10000,14000,14000,18000,18000,18000,18000,18000,18000
GET,/alerts/010006,21,0,6300,6348.768434531632,26.499582920223475,13692.968167015351,2.0,0.18025819430214968,0.0,6300,7000,7200,8500,8900,9200,14000,14000,14000,14000,14000
GET,/alerts/010007,12,0,6800,8470.39924300043,78.4515420673415,16089.562040986493,1962.0,0.10300468245837124,0.0,8500,9100,13000,13000,15000,16000,16000,16000,16000,16000,16000
GET,/alerts/010008,19,0,6800,7248.7926995197895,5847.37899992615,10047.238833038136,2.0,0.16309074722575448,0.0,6800,7100,7300,8800,9600,10000,10000,10000,10000,10000,10000
GET,/alerts/010011,12,0,6500,6657.9059791693,70.04925003275275,11613.335917005315,963.5,0.10300468245837124,0.0,6600,6900,7300,7300,8700,12000,12000,12000,12000,12000,12000
GET,/alerts/010012,12,0,6000,5722.453222231707,69.28499997593462,15878.900666953996,2.0,0.10300468245837124,0.0,6100,6300,7200,7200,9200,16000,16000,16000,16000,16000,16000
GET,/alerts/010016,15,0,6200,6440.797605505213,92.84166595898569,13779.375499929301,2.0,0.12875585307296405,0.0,6200,6900,7000,7100,7600,14000,14000,14000,14000,14000,14000
GET,/alerts/010018,17,0,6800,6895.0539706000945,76.54358400031924,13838.962082983926,2.0,0.14592330014935925,0.0,6800,7100,8800,8800,13000,14000,14000,14000,14000,14000,14000
GET,/alerts/010019,19,0,6700,6575.3420461091755,31.635125051252544,15114.570874953642,2.0,0.16309074722575448,0.0,6700,8700,8900,9200,14000,15000,15000,15000,15000,15000,15000
POST,/forecast/010001,8,4,16000,16870.81269288319,174.51016698032618,24663.631458068267,765.0,0.06866978830558083,0.03433489415279042,18000,23000,23000,23000,25000,25000,25000,25000,25000,25000,25000
POST,/forecast/010005,5,4,22000,22037.48572501354,13334.11087503191,34026.355832931586,389.8,0.04291861769098802,0.03433489415279042,22000,23000,23000,34000,34000,34000,34000,34000,34000,34000,34000
POST,/forecast/010006,5,3,16000,18065.92254997231,13919.554708059877,23570.452458923683,622.6,0.04291861769098802,0.02575117061459281,16000,22000,22000,24000,24000,24000,24000,24000,24000,24000,24000
POST,/forecast/010011,7,3,25000,22442.517327277787,1093.0498329689726,33139.476666925475,1058.7142857142858,0.06008606476738323,0.02575117061459281,25000,28000,32000,32000,33000,33000,33000,33000,33000,33000,33000
POST,/forecast/010012,5,2,18000,19083.183208596893,12944.046166958287,23694.794457987882,1115.4,0.04291861769098802,0.01716744707639521,18000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
POST,/forecast/010016,2,2,24000,23937.624229001813,23648.116416996345,24227.13204100728,21.0,0.01716744707639521,0.01716744707639521,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
POST,/forecast/010018,3,2,17000,16135.834722352834,254.8941250424832,31032.833917066455,514.3333333333334,0.02575117061459281,0.01716744707639521,17000,17000,31000,31000,31000,31000,31000,31000,31000,31000,31000
POST,/forecast/010019,3,2,23000,18244.376722335193,295.71537498850375,31358.909541973844,619.3333333333334,0.02575117061459281,0.01716744707639521,23000,23000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/forecasts/010001,15,0,6700,8516.623011083962,4231.025042012334,17692.364166025072,1436.3333333333333,0.12875585307296405,0.0,6700,8100,9500,15000,15000,18000,18000,18000,18000,18000,18000
GET,/forecasts/010005,15,0,6900,8120.201519589561,5122.617332963273,14859.92970794905,1344.0,0.12875585307296405,0.0,6900,9000,9200,9400,13000,15000,15000,15000,15000,15000,15000
GET,/forecasts/010006,18,0,6800,7265.8613402875035,65.85870892740786,15962.813667021692,1580.1666666666667,0.15450702368755687,0.0,6900,7000,8800,9200,15000,16000,16000,16000,16000,16000,16000
GET,/forecasts/010007,17,0,6700,7027.595642193987,101.89662501215935,16162.072291015647,1998.0,0.14592330014935925,0.0,6700,7200,7300,8800,8800,16000,16000,16000,16000,16000,16000
GET,/forecasts/010008,24,0,6400,6003.896071163278,26.81037492584437,14596.059457981028,1649.0,0.2060093649167425,0.0,6500,6700,8300,9000,9100,9100,15000,15000,15000,15000,15000
GET,/forecasts/010011,14,0,6800,7504.028598270712,4739.367000060156,13995.594749925658,710.9285714285714,0.12017212953476646,0.0,6900,7200,8300,9100,9200,14000,14000,14000,14000,14000,14000
GET,/forecasts/010012,19,0,6700,7031.703300418724,4400.194708025083,13927.959832944907,1680.3157894736842,0.16309074722575448,0.0,6700,7000,7200,7500,9700,14000,14000,14000,14000,14000,14000
GET,/forecasts/010016,19,0,6700,6333.715138068472,26.442499947734177,16595.8808750147,2007.0,0.16309074722575448,0.0,6700,7100,8500,8600,9900,17000,17000,17000,17000,17000,17000
GET,/forecasts/010018,19,0,7500,8317.720418942994,4823.5517089487985,13964.425957994536,1215.578947368421,0.16309074722575448,0.0,7500,9200,9400,10000,14000,14000,14000,14000,14000,14000,14000
GET,/forecasts/010019,13,0,6300,6300.291016079987,67.4982910277322,11517.22925005015,1966.0,0.11158840599656886,0.0,6300,6700,6900,8300,9300,12000,12000,12000,12000,12000,12000
GET,/snapshots/latest/010001,21,0,6400,7025.793087336102,67.70083296578377,16189.942250028253,208.0,0.18025819430214968,0.0,6400,7200,9100,9500,13000,14000,16000,16000,16000,16000,16000
GET,/snapshots/latest/010005,21,0,6000,6136.507595285019,37.840374978259206,14193.910584086552,208.0,0.18025819430214968,0.0,6000,6500,7600,9400,10000,13000,14000,14000,14000,14000,14000
GET,/snapshots/latest/010006,13,0,6800,6540.771618592911,25.663375039584935,13162.385207950138,208.0,0.11158840599656886,0.0,6800,7000,7500,9200,9500,13000,13000,13000,13000,13000,13000
GET,/snapshots/latest/010007,31,0,6700,7007.218083366752,37.32954210136086,13957.76337501593,206.0,0.2660954296841257,0.0,6700,7500,8500,9100,11000,14000,14000,14000,14000,14000,14000
GET,/snapshots/latest/010008,22,0,7000,7224.917132455052,40.74166598729789,13842.826541047543,206.0,0.1888419178403473,0.0,7100,7400,8700,9100,13000,14000,14000,14000,14000,14000,14000
GET,/snapshots/latest/010011,19,0,6600,6206.369883772966,76.91695797257125,16242.23437497858,209.0,0.16309074722575448,0.0,6600,6900,7000,7400,9800,16000,16000,16000,16000,16000,16000
GET,/snapshots/latest/010012,23,0,6500,6930.6044347037605,77.20804202836007,15859.240625053644,207.0,0.1974256413785449,0.0,6500,8200,9400,9500,9800,10000,16000,16000,16000,16000,16000
GET,/snapshots/latest/010016,22,0,7300,8111.460630691991,76.90504100173712,15982.490291935392,209.0,0.1888419178403473,0.0,7400,8900,9300,9600,14000,14000,16000,16000,16000,16000,16000
GET,/snapshots/latest/010018,22,0,6700,6377.438766897699,25.604582973755896,13808.92608303111,207.0,0.1888419178403473,0.0,6700,6800,7300,8400,9800,9900,14000,14000,14000,14000,14000
GET,/snapshots/latest/010019,21,0,6500,8349.644821652744,5539.02091702912,16055.51804206334,208.0,0.18025819430214968,0.0,6500,7500,9000,9400,14000,16000,16000,16000,16000,16000,16000
,Aggregated,571,22,6700,7850.762820719242,25.604582973755896,34026.355832931586,702.8721541155867,4.901306140310832,0.1888419178403473,6700,7500,9100,9500,14000,16000,24000,28000,34000,34000,34000
